fin_levels,thickness_mm,gap_mm,root_radius_mm,span_mm,duct,oil_w,h_a,h_b,h_delta,dp_max_pa,dp_delta,t_max_c,pass
12,2.4,3.5,3.0,100.0,shroud16,600.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,295.99566456745004,False
14,2.0,3.5,2.0,100.0,splitter12,600.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,296.3383447300806,False
14,2.4,3.5,3.0,86.0,shroud16,600.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,296.638130882071,False
12,2.4,3.5,3.0,100.0,splitter12,600.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,286.346922910227,False
12,2.4,4.5,3.0,86.0,open,1200.0,150.81865370955663,147.67685470581478,0.0212748233973468,887.2858772118383,0.3290872931123488,297.42647282959854,False
12,2.4,4.5,4.0,100.0,splitter12,600.0,185.682771877684,179.91052676156878,0.032083976518867276,4138.459685733687,0.12492613170247986,297.62061522308886,False
12,2.0,3.5,3.0,100.0,shroud16,600.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,298.7880693274975,False
14,2.0,3.5,3.0,86.0,shroud16,600.0,200.48553378508245,194.12268872362438,0.032777441438166764,3084.733361470299,0.11492943597926897,299.4247924755616,False
12,2.0,3.5,3.0,100.0,splitter12,600.0,224.9040085369969,216.32977769786345,0.03963500046262076,6971.545527837884,0.08217763537332423,289.09502144197086,False
12,2.0,4.5,3.0,86.0,open,1200.0,148.11605305853888,144.6651784792099,0.023854217135085475,887.2858772118383,0.3290872931123488,300.16423451103014,False
12,2.0,4.5,4.0,100.0,splitter12,600.0,181.64826984133705,175.51486930858218,0.034945190438374844,4138.459685733687,0.12492613170247986,300.4259468018263,False
14,2.4,3.5,2.0,86.0,splitter12,600.0,228.6645763419706,220.8106936879066,0.0355683980829509,6751.8236187342045,0.07955927740331953,298.43730040226797,False
12,2.4,3.5,3.0,86.0,shroud16,600.0,230.7126717714562,222.67960988585733,0.03607452828625177,4308.4292404006665,0.1360558059550749,301.199136582345,False
12,2.4,4.5,2.0,100.0,open,1200.0,134.91268715118883,132.733149073435,0.01642045030174046,655.3216710617555,0.2982034406498971,301.4716607608067,False
14,2.4,3.5,4.0,100.0,open,600.0,149.95675233984878,147.76093805097432,0.014860587093166332,814.1969712149155,0.09752534497623833,302.5088232007231,False
12,2.4,4.5,4.0,86.0,splitter12,600.0,206.80096627537952,199.2866231214484,0.03770620945968743,5598.531195280001,0.13240185531801513,303.19132322256837,False
14,2.0,3.5,2.0,86.0,splitter12,600.0,222.66220828020926,214.33137989513844,0.03886891592424157,6751.8236187342045,0.07955927740331953,301.21845436931096,False
14,2.4,3.5,2.0,100.0,shroud16,600.0,184.43731975458985,180.08464538705027,0.024170158195244863,2279.86190293464,0.09815811347035405,303.44863173649946,False
12,2.0,4.5,2.0,100.0,open,1200.0,132.73516005314187,130.2814374463469,0.018834015458307114,655.3216710617555,0.2982034406498971,303.850363371453,False
12,2.0,3.5,3.0,86.0,shroud16,600.0,224.60793617280137,216.09676079646218,0.03938594611492453,4308.4292404006665,0.1360558059550749,304.4195284292241,False
14,2.0,3.5,4.0,100.0,open,600.0,147.28395394124863,144.74596182452657,0.01753411345456962,814.1969712149155,0.09752534497623833,304.94110948669265,False
14,2.0,3.5,2.0,100.0,shroud16,600.0,180.45457112090483,175.68087756232143,0.027172527965600424,2279.86190293464,0.09815811347035405,305.87591563318335,False
12,2.0,4.5,4.0,86.0,splitter12,600.0,201.84321579487525,193.94798036086192,0.040708005411159015,5598.531195280001,0.13240185531801513,306.4225981652496,False
12,2.4,4.5,4.0,100.0,exhaust_jets8,1200.0,200.45528912930214,193.4475483450229,0.03622553422998464,7911.819663768476,0.08158108240059714,244.8224050001392,False
12,2.0,4.5,4.0,100.0,exhaust_jets8,1200.0,195.78395369439093,188.4015973524362,0.03918414942175262,7911.819663768476,0.08158108240059714,247.04255607570184,False
12,2.4,4.5,3.0,100.0,exhaust_jets8,1200.0,200.45528912930214,193.4475483450229,0.03622553422998464,7911.819663768476,0.08158108240059714,253.0038998066957,False
12,2.0,4.5,3.0,100.0,exhaust_jets8,1200.0,195.78395369439093,188.4015973524362,0.03918414942175262,7911.819663768476,0.08158108240059714,255.24555289788958,False
12,2.4,3.5,4.0,100.0,open,600.0,169.2006403204294,165.88158092115194,0.0200086072296061,1137.1841994654608,0.13600302551347523,307.08632292208017,False
12,2.4,4.5,2.0,86.0,open,1200.0,150.81865370955663,147.67685470581478,0.0212748233973468,887.2858772118383,0.3290872931123488,307.170761101244,False
12,2.4,3.5,2.0,100.0,shroud16,600.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,307.620863004326,False
14,2.4,3.5,4.0,86.0,open,600.0,167.40349383805628,164.22169936722295,0.019374994188303834,1102.0833525146852,0.12738815214834456,307.90408599235855,False
12,2.4,4.5,3.0,100.0,splitter12,600.0,185.682771877684,179.91052676156878,0.032083976518867276,4138.459685733687,0.12492613170247986,308.00566620116433,False
